OBJECTID,RNFL_DATE,WMRS_DAM_DLY_RNF_MM,WMRS_DAM_NMBR_DLY_RNF_MM,STNB_DAM_DLY_RNF_MM,STNB_DAM_NMBR_DLY_RNF_MM,VLVL_DAM_DLY_RNF_MM,VLVL_DAM_NMBR_DLY_RNF_MM,THWT_KLF_DAM_DLY_RNF_MM,THWT_KLF_DAM_NMBR_DLY_RNF_MM,WDHD_DAM_DLY_RNF_MM,WDHD_DAM_NMBR_DLY_RNF_MM,DE_VLRS_HS_DAM_DLY_RNF_MM,DE_VLRS_HS_DAM_NMBR_DLY_RNF_MM,NWLN_DAM_DLY_RNF_MM,NWLN_DAM_NMBR_DLY_RNF_MM,WYNB_DAM_DLY_RNF_MM,WYNB_DAM_NMBR_DLY_RNF_MM,CNST_NEK_DAM_DLY_RNF_MM,CNST_NEK_DAM_NMBR_DLY_RNF_MM,PLTK_DAM_DLY_RNF_MM,PLTK_DAM_NMBR_DLY_RNF_MM,BLCK_UPR_WTP_DAM_DLY_RNF_MM,BLCK_UPR_WTP_DAM_NMB_DLY_RNF_MM,BLCK_LWR_DAM_DLY_RNF_MM,BLCK_LWR_DAM_NMBR_DLY_RNF_MM,GLEN_GRY_DAM_DLY_RNF_MM,GLEN_GRY_DAM_NMBR_DLY_RNF_MM,TYGR_DAM_DLY_RNF_MM,TYGR_DAM_NMBR_DLY_RNF_MM,FR_DAM_DLY_RNF_MM,FR_DAM_NMBR_DLY_RNF_MM,BRKL_DAM_DLY_RNF_MM,BRKL_DAM_NMBR_DLY_RNF_MM,ATLN_WSFL_DAM_DLY_RNF_MM,ATLN_WSFL_DAM_NMBR_DLY_RNF_MM,MLTN_DAM_DLY_RNF_MM,MLTN_DAM_NMBR_DLY_RNF_MM,KLF_NEK_DAM_DLY_RNF_MM,KLF_NEK_DAM_NMBR_DLY_RNF_MM,BRGR_DAM_DLY_RNF_MM,BRGR_DAM_NMB_DLY_RNF_MM,NWLN_DAM_DLY_EVP_MM,NWLN_DAM_NMBR_DLY_EVP_MM,STNB_DAM_DLY_EVP_MM,STNB_DAM_NMBR_DLY_EVP_MM,WMRS_DAM_DLY_EVP_MM,WMRS_DAM_NMBR_DLY_EVP_MM,BRKL_DAM_DLY_EVP_MM,BRKL_DAM_NMBR_DLY_EVP_MM,WDHD_DAM_DLY_EVP_MM,WDHD_DAM_NMBR_DLY_EVP_MM,MLTN_DAM_DLY_EVP_MM,MLTN_DAM_NMBR_DLY_EVP_MM,STNB_2_DAM_DLY_RNF_MM,STNB_2_DAM_NMBR_DLY_RNF_MM,STNB_3_DAM_DLY_RNF_MM,STNB_3_DAM_NMBR_DLY_RNF_MM,STNB_CTCH_4_DLY_RNF_MM,STNB_CTCH_4_NMBR_DLY_RNF_MM,WMRS_2_STH_DAM_DLY_RNF_MM,WMRS_2_STH_DAM_NMBR_DLY_RNF_MM,WMRS_3_NRTH_DAM_DLY_RNF_MM,WMRS_3_NRTH_DAM_NMBR_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_NMBR_DLY_RNF,WMRS_5_NEW_NRTH_DAM_DLY_RNF_MM,WMRS_5_NEW_NRTH_DAM_NMBR_DLY_RN,HS_DAM,TNL_DAM,MLS_DAM,WVL_DAM,SPRN_DAM,KTCH_DAM,WKPJ_DAM,CNEK_DISA_DAM,DAM_DAY,DAM_MNTH,DAM_YEAR,WMRS_HOEK_1_DAM_DLY_RNF,STNB_1_DAM_DLY_RNF,VLVL_DAM_DLY_RNF,THWT_DAM_DLY_RNF,WDHD_DAM_DLY_RNF,DE_VLRS_DAM_DLY_RNF,NWLN_DAM_DLY_RNF,WYNB_DAM_DLY_RNF,CNST_DAM_DLY_RNF,PLTK_DAM_DLY_RNF,BLCK_UPR_DAM_DLY_RNF,BLCK_LWR_DAM_DLY_RNF,GLNG_DAM_DLY_RNF,TYGR_DAM_DLY_RNF,FR_DAM_DLY_RNF,BRKL_DAM_DLY_RNF,ATLN_DAM_DLY_RNF,MLTN_DAM_DLY_RNF,KLFN_DAM_DLY_RNF,BRGR_DAM_DLY_RNF
12114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2033,,,,,,,,,,,,,,,,,,,,
12115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2033,,,,,,,,,,,,,,,,,,,,
12116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2033,,,,,,,,,,,,,,,,,,,,
12117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2033,,,,,,,,,,,,,,,,,,,,
12118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2033,,,,,,,,,,,,,,,,,,,,
12119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2033,,,,,,,,,,,,,,,,,,,,
12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,2033,,,,,,,,,,,,,,,,,,,,
12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,2033,,,,,,,,,,,,,,,,,,,,
12122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2033,,,,,,,,,,,,,,,,,,,,
12123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,2033,,,,,,,,,,,,,,,,,,,,
12124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,2033,,,,,,,,,,,,,,,,,,,,
12125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,2033,,,,,,,,,,,,,,,,,,,,
12126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,2033,,,,,,,,,,,,,,,,,,,,
12127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,2033,,,,,,,,,,,,,,,,,,,,
12128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,2033,,,,,,,,,,,,,,,,,,,,
12129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,2033,,,,,,,,,,,,,,,,,,,,
12130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,2033,,,,,,,,,,,,,,,,,,,,
12131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,2033,,,,,,,,,,,,,,,,,,,,
12132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,2033,,,,,,,,,,,,,,,,,,,,
12133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,2033,,,,,,,,,,,,,,,,,,,,
12134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,2033,,,,,,,,,,,,,,,,,,,,
12135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,2033,,,,,,,,,,,,,,,,,,,,
12136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,2033,,,,,,,,,,,,,,,,,,,,
12137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,2033,,,,,,,,,,,,,,,,,,,,
12138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,2033,,,,,,,,,,,,,,,,,,,,
12139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,2033,,,,,,,,,,,,,,,,,,,,
12140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,2033,,,,,,,,,,,,,,,,,,,,
12141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,2033,,,,,,,,,,,,,,,,,,,,
12142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,2033,,,,,,,,,,,,,,,,,,,,
12143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3,2033,,,,,,,,,,,,,,,,,,,,
12144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,31,3,2033,,,,,,,,,,,,,,,,,,,,
12145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2033,,,,,,,,,,,,,,,,,,,,
12146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2033,,,,,,,,,,,,,,,,,,,,
12147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2033,,,,,,,,,,,,,,,,,,,,
12148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2033,,,,,,,,,,,,,,,,,,,,
12149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2033,,,,,,,,,,,,,,,,,,,,
12150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2033,,,,,,,,,,,,,,,,,,,,
12151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,2033,,,,,,,,,,,,,,,,,,,,
12152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,2033,,,,,,,,,,,,,,,,,,,,
12153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,2033,,,,,,,,,,,,,,,,,,,,
12154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,2033,,,,,,,,,,,,,,,,,,,,
12155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,2033,,,,,,,,,,,,,,,,,,,,
12156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,2033,,,,,,,,,,,,,,,,,,,,
12157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,2033,,,,,,,,,,,,,,,,,,,,
12158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,2033,,,,,,,,,,,,,,,,,,,,
12159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,2033,,,,,,,,,,,,,,,,,,,,
12160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,2033,,,,,,,,,,,,,,,,,,,,
12161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,2033,,,,,,,,,,,,,,,,,,,,
12162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,2033,,,,,,,,,,,,,,,,,,,,
12163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,2033,,,,,,,,,,,,,,,,,,,,
12164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,2033,,,,,,,,,,,,,,,,,,,,
12165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4,2033,,,,,,,,,,,,,,,,,,,,
12166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,2033,,,,,,,,,,,,,,,,,,,,
12167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4,2033,,,,,,,,,,,,,,,,,,,,
12168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4,2033,,,,,,,,,,,,,,,,,,,,
12169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,2033,,,,,,,,,,,,,,,,,,,,
12170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,2033,,,,,,,,,,,,,,,,,,,,
12171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,2033,,,,,,,,,,,,,,,,,,,,
12172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,2033,,,,,,,,,,,,,,,,,,,,
12173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,4,2033,,,,,,,,,,,,,,,,,,,,
12174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,30,4,2033,,,,,,,,,,,,,,,,,,,,
12175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2033,,,,,,,,,,,,,,,,,,,,
12176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2033,,,,,,,,,,,,,,,,,,,,
12177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2033,,,,,,,,,,,,,,,,,,,,
12178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2033,,,,,,,,,,,,,,,,,,,,
12179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2033,,,,,,,,,,,,,,,,,,,,
12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2033,,,,,,,,,,,,,,,,,,,,
12181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2033,,,,,,,,,,,,,,,,,,,,
12182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2033,,,,,,,,,,,,,,,,,,,,
12183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,2033,,,,,,,,,,,,,,,,,,,,
12184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,2033,,,,,,,,,,,,,,,,,,,,
12185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,2033,,,,,,,,,,,,,,,,,,,,
12186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,2033,,,,,,,,,,,,,,,,,,,,
12187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,2033,,,,,,,,,,,,,,,,,,,,
12188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,2033,,,,,,,,,,,,,,,,,,,,
12189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,2033,,,,,,,,,,,,,,,,,,,,
12190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,2033,,,,,,,,,,,,,,,,,,,,
12191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,2033,,,,,,,,,,,,,,,,,,,,
12192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,2033,,,,,,,,,,,,,,,,,,,,
12193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,2033,,,,,,,,,,,,,,,,,,,,
12194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,2033,,,,,,,,,,,,,,,,,,,,
12195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5,2033,,,,,,,,,,,,,,,,,,,,
12196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5,2033,,,,,,,,,,,,,,,,,,,,
12197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,5,2033,,,,,,,,,,,,,,,,,,,,
12198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,2033,,,,,,,,,,,,,,,,,,,,
12199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,2033,,,,,,,,,,,,,,,,,,,,
12200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2033,,,,,,,,,,,,,,,,,,,,
12201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,5,2033,,,,,,,,,,,,,,,,,,,,
12202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,2033,,,,,,,,,,,,,,,,,,,,
12203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,2033,,,,,,,,,,,,,,,,,,,,
12204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,2033,,,,,,,,,,,,,,,,,,,,
12205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,31,5,2033,,,,,,,,,,,,,,,,,,,,
12206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2033,,,,,,,,,,,,,,,,,,,,
12207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2033,,,,,,,,,,,,,,,,,,,,
12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2033,,,,,,,,,,,,,,,,,,,,
12209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2033,,,,,,,,,,,,,,,,,,,,
12210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2033,,,,,,,,,,,,,,,,,,,,
12211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2033,,,,,,,,,,,,,,,,,,,,
12212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,2033,,,,,,,,,,,,,,,,,,,,
12213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2033,,,,,,,,,,,,,,,,,,,,
12214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,2033,,,,,,,,,,,,,,,,,,,,
12215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,2033,,,,,,,,,,,,,,,,,,,,
12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,2033,,,,,,,,,,,,,,,,,,,,
12217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,2033,,,,,,,,,,,,,,,,,,,,
12218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,2033,,,,,,,,,,,,,,,,,,,,
12219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,2033,,,,,,,,,,,,,,,,,,,,
12220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,2033,,,,,,,,,,,,,,,,,,,,
12221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,2033,,,,,,,,,,,,,,,,,,,,
12222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,2033,,,,,,,,,,,,,,,,,,,,
12223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,2033,,,,,,,,,,,,,,,,,,,,
12224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6,2033,,,,,,,,,,,,,,,,,,,,
12225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,2033,,,,,,,,,,,,,,,,,,,,
12226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,2033,,,,,,,,,,,,,,,,,,,,
